cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,eTotm,eTotp,eStatm,eStatp,eSystm,eSystp,theoryCrossSection,eTheorym,eTheoryp,flag
EWK-10-005,1107.4789,JHEP 10 (2011) 132,0.036,EW,0,W,7 TeV,,9.53704e+07,944263,944263,185185,185185,925926,925926,9.66667e+07,2.5e+06,2.5e+06,2
SMP-12-011,1402.0923,PRL 112 (2014) 191802,0.018,EW,1,W,8 TeV,,1.13056e+08,3.71411e+06,3.71411e+06,277778,277778,3.7037e+06,3.7037e+06,1.12778e+08,2.96296e+06,2.96296e+06,2
SMP-15-004,https://cds.cern.ch/record/2093537,,0.043,EW,2,W,13 TeV,,1.84722e+08,9.55814e+06,9.55814e+06,1.11111e+06,1.11111e+06,9.49334e+06,9.49334e+06,1.82407e+08,4.76852e+06,4.76852e+06,2
SMP-00-000,,,5,EW,4,Wj,7 TeV,,1.29704e+07,2.08858e+06,2.08858e+06,190741,190741,2.07985e+06,2.07985e+06,1.18221e+07,481620,481620,1
SMP-00-000,,,5,EW,5,W2j,7 TeV,,2.47963e+06,477629,477629,95370.4,95370.4,468011,468011,2.20017e+06,78871.3,78871.3,1
SMP-00-000,,,5,EW,6,W3j,7 TeV,,391018,95698.6,95698.6,28611.1,28611.1,91321.6,91321.6,381346,16880.6,16880.6,1
SMP-00-000,,,5,EW,7,W4j,7 TeV,,56268.5,24567.3,24567.3,10490.7,10490.7,22214.7,22214.7,71280.6,3814.81,3814.81,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,8,Wj,7 TeV,,479800,19600,19600,18260,18260,7122.67,7122.67,473000,29000,29000,2
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,9,Wj,8 TeV,,629000,53500,53500,323,323,53499,53499,581000,11600,11600,2
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,10,Wj,13 TeV,,1.07244e+06,29370,29370,29370,29370,0,0,1.14397e+06,88546.9,88546.9,2
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,11,W2j,7 TeV,,95620,9957,9957,8523,8523,5147.85,5147.85,94600,6650,6650,2
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,12,W2j,8 TeV,,130000,13800,13800,156,156,13799.1,13799.1,121000,4110,4110,2
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,13,W2j,13 TeV,,239880,16761.6,16761.6,16761.6,16761.6,0,0,252558,22997.7,22997.7,2
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,14,W3j,7 TeV,,16550,2040,2040,2330,2330,nan,nan,16900,1600,1600,2
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,15,W3j,8 TeV,,24500,3390,3390,75.2,75.2,3389.17,3389.17,22000,1560,1560,2
