cadi,pub,paper,lumi,category,name,model,comment,finalstate,crossSection,lower,upper,statLower,statUpper,theoryLower,theoryUpper,flag
EWK-10-005,1107.4789,JHEP 10 (2011) 132,0.036,EW,0,W,7 TeV,,5080.99,5.03068e+06,5.1313e+06,5.03068e+06,5.1313e+06,5.01686e+06,5.28324e+06,1
SMP-12-011,1402.0923,PRL 112 (2014) 191802,0.018,EW,1,W,8 TeV,,5610.5,5.42618e+06,5.79481e+06,5.42618e+06,5.79481e+06,5.44967e+06,5.74375e+06,1
SMP-15-004,https://cds.cern.ch/record/2093537,,0.043,EW,2,W,13 TeV,,9167.03,8.69269e+06,9.64136e+06,8.69269e+06,9.64136e+06,8.81551e+06,9.28879e+06,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,8,Wj,7 TeV,,479.8,460200,499400,460200,499400,444000,502000,1
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,9,Wj,8 TeV,,629,575500,682500,575500,682500,569400,592600,1
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,10,Wj,13 TeV,,1072.44,1.04307e+06,1.10181e+06,1.04307e+06,1.10181e+06,1.05543e+06,1.23252e+06,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,11,W2j,7 TeV,,95.62,85663,105577,85663,105577,87950,101250,1
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,12,W2j,8 TeV,,130,116200,143800,116200,143800,116890,125110,1
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,13,W2j,13 TeV,,239.88,223118,256641,223118,256641,229560,275556,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,14,W3j,7 TeV,,16.55,14510,18590,14510,18590,15300,18500,1
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,15,W3j,8 TeV,,24.5,21110,27890,21110,27890,20440,23560,1
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,16,W3j,13 TeV,,50.4582,45743.2,55173.1,45743.2,55173.1,47466,58499.7,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,17,W4j,7 TeV,,2.927,2445,3409,2445,3409,2280,2920,1
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,18,Wj,8 TeV,,4.55,3652,5448,3652,5448,2801,3539,1
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,19,W4j,13 TeV,,11.3873,9923.98,12850.7,9923.98,12850.7,9230.85,11225.2,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,20,W5j,7 TeV,,0.449,327,571,327,571,529,563,1
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,21,W5j,8 TeV,,0.785,554,1016,554,1016,553.2,670.8,1
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,22,W5j,13 TeV,,2.8005,2303.79,3297.21,2303.79,3297.21,1867.16,2274.88,1
SMP-12-023,1406.7533,PLB 741 (2015) 12,5,EW,23,W6j,7 TeV,,0.06739,41.71,93.07,41.71,93.07,84.7,88.7,1
SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,24,W6j,8 TeV,,0.12,54.7,185.3,54.7,185.3,85.1,134.9,1
SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,25,W6j,13 TeV,,0.590264,430.655,749.873,430.655,749.873,377.779,440.85,1
SMP-12-002,1310.1138,JHEP 02 (2014) 013,5,EW,27,Wc,7 TeV,,107.7,100051,115349,100051,115349,103500,116300,1
SMP-18-013,https://cds.cern.ch/record/2682200,,19.7,EW,28,Wc,8 TeV,,116.3,111053,121547,111053,121547,110700,111100,1
