label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
0,FWD-11-001,1210.6718,Phys. Lett. B 722 (2013) 5,2.78e-09,QCD,inelastic,7,,60200000000.0,2647640000.0,2647640000.0,200000000.0,200000000.0,2640080000.0,2640080000.0,60200000000.0,1000000.0,1000000.0
1,FSQ-15-005,1802.02613,JHEP 07 (2018) 161,4.08e-08,QCD,inelastic,13,,67500000000.0,1788850000.0,1788850000.0,1788850000.0,1788850000.0,1788850000.0,1788850000.0,67500000000.0,1000000.0,1000000.0
2,SMP-13-002,1406.0324,PRD 90 (2014) 072006,5.0,QCD,Jet,7,,4202000000.0,401726000.0,401726000.0,10380000.0,10380000.0,401592000.0,401592000.0,4327000000.0,346812000.0,346812000.0
3,QCD-10-037,1108.2044,PRD 84 052011 (2011),0.036,EW,$\gamma$,7,,39615700.0,6952580.0,6952580.0,724239.0,724239.0,6914760.0,6914760.0,42943200.0,8325300.0,8325300.0
4,QCD-11-005,1311.6141,JHEP 06 (2014) 009,2.1,EW,$\gamma \! \geq \!$1j,7,,8010000.0,750267.0,750267.0,110000.0,110000.0,742159.0,742159.0,7970000.0,1113060.0,1113060.0
5,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W,2.76,,35463000.0,3160380.0,3160380.0,1666670.0,1666670.0,2685190.0,2685190.0,31481500.0,1388890.0,1388890.0
6,SMP-20-004,https://cds.cern.ch/record/2868090,PAS-SMP-20-004,0.298,EW,W,5.02,,67592600.0,1328950.0,1328950.0,92592.6,92592.6,1325720.0,1325720.0,67314800.0,740741.0,740741.0
7,EWK-10-005,1107.4789,JHEP 10 (2011) 132,0.036,EW,W,7,,95370400.0,944263.0,944263.0,185185.0,185185.0,925926.0,925926.0,96666700.0,2500000.0,2500000.0
8,SMP-12-011,1402.0923,PRL 112 (2014) 191802,0.018,EW,W,8,,113056000.0,3714110.0,3714110.0,277778.0,277778.0,3703700.0,3703700.0,112778000.0,2962960.0,2962960.0
9,SMP-20-004,https://cds.cern.ch/record/2868090,PAS-SMP-20-004,0.201,EW,W,13,,194815000.0,3727930.0,3727930.0,92592.6,92592.6,3726780.0,3726780.0,185833000.0,2129630.0,1574070.0
10,SMP-12-023,1406.7533,PLB 741 (2015) 12,5.0,EW,W$ \! \geq \!$1j,7,,479800.0,19600.0,19600.0,18260.0,18260.0,7122.67,7122.67,473000.0,29000.0,29000.0
11,SMP-14-023,1610.04222,PRD 95 052002 (2017),19.6,EW,W$ \! \geq \!$1j,8,,629000.0,53500.0,53500.0,323.0,323.0,53499.0,53499.0,581000.0,11600.0,11600.0
12,SMP-16-005,1707.05979,PRD 96 (2017) 072005,2.2,EW,W$ \! \geq \!$1j,13,,1072440.0,29370.0,29370.0,29370.0,29370.0,0.0,0.0,1143970.0,88546.9,88546.9
13,SMP-12-023,1406.7533,PLB 741 (2015) 12,5.0,EW,W$ \! \geq \!$2j,7,,95620.0,9957.0,9957.0,8523.0,8523.0,5147.85,5147.85,94600.0,6650.0,6650.0
