label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
cmsin,FWD-11-001,1210.6718,Phys. Lett. B 722 (2013) 5,2.78e-9,QCD,inelastic,7,,6.02e+11,2.64764e+10,2.64764e+10,2e+09,2e+09,2.64008e+10,2.64008e+10,6.02e+11,0,0
cmsin13,FSQ-15-005,1802.02613,JHEP 07 (2018) 161, 40.8e-9,QCD,inelastic,13,,6.75e+11,1.78885e+10,1.78885e+10,0,0,1.78885e+10,1.78885e+10,6.75e+11,0,0
incj276,SMP-14-017,1512.06212,EPJC 76 (2016) 265,5.43,QCD,Jet,2.76,,7.87e+08,4.94696e+07,4.94696e+07,6.8e+06,6.8e+06,4.9e+07,4.9e+07,7.77e+08,3.3e+07,4e+07
incj,QCD-11-004,1212.6660,PRD 87 (2013) 112002,5,QCD,Jet,7,,8.52e+09,6.16604e+08,6.16604e+08,9e+07,9e+07,6.1e+08,6.1e+08,8.76e+09,4.4e+08,3.9e+08
incj8,SMP-14-017,1609.05331,JHEP 03 (2017) 156,19.7,QCD,Jet,8,,1.122e+10,6.06012e+08,6.06012e+08,3.5e+07,3.5e+07,6e+08,6.1e+08,1.165e+10,3.3e+08,2.7e+08
incj13,SMP-20-011,2111.10431,JHEP 02 (2022) 142,33.5,QCD,Jet,13,,1.523e+10,7.03295e+08,7.03295e+08,6.8e+07,6.8e+07,7e+08,7e+08,1.498e+10,5.7e+08,4.2e+08
incg,QCD-10-037,1108.2044,PRD 84 052011 (2011),0.036,EW,$\gamma$,7,,3.96157e+10,6.95258e+09,6.95258e+09,7.24239e+08,7.24239e+08,6.91476e+09,6.91476e+09,4.29432e+10,8.3253e+09,8.3253e+09
gj,QCD-11-005,1311.6141,JHEP 06 (2014) 009,2.1,EW,$\gamma \! \geq \!$1j,7,,8.01e+09,7.50267e+08,7.50267e+08,1.1e+08,1.1e+08,7.42159e+08,7.42159e+08,7.97e+09,1.11306e+09,1.11306e+09
W276,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W,2.76,,3.83e+09,3.41321e+08,3.41321e+08,1.8e+08,1.8e+08,2.9e+08,2.9e+08,3.53406e+09,1.45042e+07,1.08984e+07
Wp276,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W+,2.76,,2.38e+09,2.28035e+08,2.28035e+08,1.4e+08,1.4e+08,1.8e+08,1.8e+08,2.11e+09,1e+08,1e+08
Wm276,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W-,2.76,,1.45e+09,1.55563e+08,1.55563e+08,1.1e+08,1.1e+08,1.1e+08,1.1e+08,1.29e+09,5e+07,5e+07
W276fid,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W,2.76,,2.22e+09,1.8868e+08,1.8868e+08,1e+08,1e+08,1.6e+08,1.6e+08,2.04e+09,9e+07,9e+07
Wp276fid,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W+,2.76,,1.44e+09,1.28062e+08,1.28062e+08,8e+07,8e+07,1e+08,1e+08,1.32e+09,6e+07,6e+07
Wm276fid,HIN-11-008,1205.6334,PLB 715 (2012) 66,0.000231,EW,W,2.76,,7.7e+08,7.81025e+07,7.81025e+07,6e+07,6e+07,5e+07,5e+07,7.2e+08,3e+07,3e+07
W5,Submitted to JHEP,https://cds.cern.ch/record/2868090,,0.298,EW,W,5.02,,7.3e+09,1.52643e+08,1.52643e+08,1e+07,1e+07,1.52315e+08,1.52315e+08,7.15338e+09,3.80866e+07,3.04181e+07
Wp5,Submitted to JHEP,https://cds.cern.ch/record/2868090,,0.298,EW,W^+,5.02,,4.401e+09,9.14768e+07,9.14768e+07,4e+06,4e+06,9.13893e+07,9.13893e+07,4.391e+09,5e+07,4.7e+07
