label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
ttbar_5,TOP-20-004,2112.09114,JHEP 04 (2022) 144,0.302,TOP,$\mathrm{t\bar{t}}$,5.02,,63000.0,5080.35,5080.35,4100.0,4100.0,3000.0,3000.0,66800.0,3100.0,2900.0
ttbar_7,TOP-13-004,1603.02303,JHEP 08 (2016) 029,5.0,TOP,$\mathrm{t\bar{t}}$,7,,173600.0,6232.98,6253.0,2100.0,2100.0,5868.56,5889.82,177300.0,10816.7,10153.3
ttbar_8,TOP-13-004,1603.02303,JHEP 08 (2016) 029,19.7,TOP,$\mathrm{t\bar{t}}$,8,,244900.0,8553.95,9089.0,1400.0,1400.0,8438.6,8980.53,252900.0,14520.7,13336.0
ttbar_13,TOP-20-001,2108.02803,PRD 104 (2021) 092013,137.0,TOP,$\mathrm{t\bar{t}}$,13,,791000.0,25218.3,25245.7,560.0,560.0,25212.1,25239.5,832000.0,46000.0,40000.0
ttbar_13p6,TOP-22-012,2303.10680,JHEP 08 (2023) 204,1.21,TOP,$\mathrm{t\bar{t}}$,13.6,,881000.0,30479.5,30479.5,23000.0,23000.0,20000.0,20000.0,924000.0,40000.0,32000.0
ttbar_0j,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}} = \!$0j,13,,94000.0,7280.11,7280.11,2000.0,2000.0,7000.0,7000.0,100000.0,9000.0,9000.0
ttbar_1j,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$1j,13,,74000.0,10198.0,10198.0,2000.0,2000.0,10000.0,10000.0,72960.0,8630.0,8630.0
ttbar_2j,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$2j,13,,35100.0,5787.05,5787.05,1000.0,1000.0,5700.0,5700.0,36930.0,4900.0,4900.0
ttbar_3j,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$3j,13,,12300.0,3157.53,3157.53,600.0,600.0,3100.0,3100.0,15170.0,2490.0,2490.0
ttbar_4j,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}} \! \geq \! $4j,13,,5800.0,2009.98,2009.98,200.0,200.0,2000.0,2000.0,8060.0,1970.0,1970.0
ttbb_13,TOP-20-003,2012.09225,PLB 820 (2021) 136565,41.5,TOP,$\mathrm{t\bar{t}}\:$2c,13,,8000.0,1702.94,1702.94,1100.0,1100.0,1300.0,1300.0,8900.0,1500.0,1500.0
ttcc_13,TOP-20-003,2012.09225,PLB 820 (2021) 136565,35.9,TOP,$\mathrm{t\bar{t}}\:$2b,13,,4090.0,646.607,646.607,340.0,340.0,550.0,550.0,3390.0,660.0,660.0
tchannel_7,TOP-11-021,1209.4533,JHEP 12 (2012) 035,1.6,TOP,t$_{t-ch}$,7,,67200.0,6100.0,6100.0,3700.0,3700.0,4847.68,4847.68,65900.0,1900.0,2400.0
tchannel_8,TOP-12-038,1403.7366,JHEP 06 (2014) 090,5.0,TOP,t$_{t-ch}$,8,,83600.0,7749.19,7749.19,2300.0,2300.0,7400.0,7400.0,87200.0,2416.61,3440.93
tchannel_13,TOP-16-003,1610.00678,PLB 72 (2017) 752,2.3,TOP,t$_{t-ch}$,13,,232000.0,32015.6,32034.4,13000.0,13000.0,29257.5,29278.0,217000.0,7720.1,9055.39
tW_7,TOP-11-022,1209.3489,PRL 110 (2013) 022003,4.9,TOP,tW,7,,16000.0,4000.0,5000.0,4000.0,5000.0,0.0,0.0,15600.0,1264.91,1077.03
tW_8,TOP-12-040,1401.2942,PRL 112 (2014) 231802,19.7,TOP,tW,8,,23400.0,5400.0,5400.0,5400.0,5400.0,0.0,0.0,22200.0,1500.0,1500.0
